品牌 (Brand),产品编号,条形码,产品名称,规格,折扣前,折扣率,折扣后
Cervantes,PB001,8.43525E+12,CUADERNO ESP T. FORRADA F_ 4X4 80H 90G,F_ 80张 90g 硬抄 4x4方格,"1,595_","-19,25%","1,288_"
Cervantes,PB002,8.43525E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ PAU,F_ 80张 90g 硬抄 2.5mm,"1,595_","-19,25%","1,288_"
Cervantes,PB003,8.43525E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ HOR,F_ 80张 90g 硬抄 横条,"1,595_","-19,25%","1,288_"
Cervantes,PB004,8.43525E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ LIS,F_ 80张 90g 硬抄 空白,"1,595_","-19,25%","1,288_"
Cervantes,PB005,8.43546E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ PAS,F_ 80张 90g 硬抄 4x4方格(粉),"1,595_","-19,25%","1,288_"
Cervantes,PB006,8.43525E+12,CUADERNO ESP T. FORRADA 4_ 4X4 80H 90G,4_ 80张 90g 硬抄 4x4方格,"1,089_","-19,25%",879_
Cervantes,PB007,8.43525E+12,CUADERNO ESP. T. FORRADA 4_ P2.5 80H 90G,4_ 80张 90g 硬抄 2.5mm,"1,089_","-19,25%",879_
Cervantes,PB008,8.43525E+12,CUADERNO ESP. T. FORRADA 4_ HOR 80H 90G,4_ 80张 90g 硬抄 横条,"1,089_","-19,25%",879_
Cervantes,PB052,8.43525E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ PAU,F_ 80张 90g 塑料皮 2.5mm,"1,529_","-19,25%","1,235_"
Cervantes,PB053,8.43525E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ HOR,F_ 80张 90g 塑料皮 横条,"1,529_","-19,25%","1,235_"
Cervantes,PB054,8.43525E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ LIS,F_ 80张 90g 塑料皮 空白,"1,529_","-19,25%","1,235_"
Cervantes,PB055,8.43525E+12,CUADERNO F_ 3 x 3 mm 80 HOJAS PP,F_ 80张 90g 塑料皮 3x3方格,"1,529_","-19,25%","1,235_"
Cervantes,PB061,8.43525E+12,CUADERNO ESP T. PP 4_ 4X4 80H 90G,4_ 80张 90g 塑料皮 4x4方格,"1,089_","-19,25%",879_
Cervantes,PB062,8.43525E+12,CUADERNO ESP T. PP 4_ P2.5 80H 90G,4_ 80张 90g 塑料皮 2.5mm,"1,089_","-19,25%",879_
Cervantes,PB063,8.43525E+12,CUADERNO ESP T. PP 4_ HOR 80H 90G,4_ 80张 90g 塑料皮 横条,"1,089_","-19,25%",879_
Cervantes,PB064,8.43525E+12,CUADERNO ESP T. PP 4_ LISO 80H 90G,4_ 80张 90g 塑料皮 空白,"1,089_","-19,25%",879_
Cervantes,CE008,8.43572E+12,CUADERNO GUIA PP F_ 80 HOJAS 2.5MM 90G,F_ 80张 90g 塑料皮 2.5mm,"1,529_","-19,25%","1,235_"
Cervantes,CE009,8.43572E+12,CUADERNO GUIA PP F_ 80 HOJAS 3MM 90G,F_ 80张 90g 塑料皮 3mm,"1,529_","-19,25%","1,235_"
Cervantes,PB045-01,8.43546E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90g/m_ AZU,F_ 80张 90g 塑料皮 4x4方格(蓝),"1,595_","-19,25%","1,288_"
Cervantes,PB045-02,8.43546E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90g/m_ ROJ,F_ 80张 90g 塑料皮 4x4方格(红),"1,595_","-19,25%","1,288_"
Cervantes,PB080,8.43572E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90 g/m_ PP,F_ 80张 90g 塑料皮 6mm方格,"1,529_","-19,25%","1,235_"
Cervantes,PB136,8.43525E+12,CUADERNO ESP T PP A5 5X5 120H 90G,A5 120张 90g 塑料皮 5mm方格,"2,447_","-19,25%","1,976_"
Cervantes,PB137,8.43525E+12,CUADERNO ESP T PP A4 5X5 120H 90G,A4 120张 90g 塑料皮 5mm方格,"3,449_","-19,25%","2,785_"
Cervantes,PB236,8.43572E+12,CUADERNO BASIC PP F_ 80 HOJAS 3 mm 90 g/,F_ 80张 90g 塑料皮 3mm方格,"1,529_","-19,25%","1,235_"
Cervantes,PB237,8.43572E+12,CUADERNO BASIC PP F_ 80 HOJAS 4 mm 90 g/,F_ 80张 90g 塑料皮 4mm方格,"1,529_","-19,25%","1,235_"
Cervantes,PB238,8.43572E+12,CUADERNO BASIC PP F_ 80 HOJAS 5 mm 90 g/,F_ 80张 90g 塑料皮 5mm方格,"1,529_","-19,25%","1,235_"
Cervantes,PB258,8.43572E+12,CUADERNO ESP PP TAPA PP F_ 4X4 80H 90G,F_ 80张 90g 塑料皮 4mm方格,"1,779_","-19,25%","1,437_"
Cervantes,PB258P,8.43572E+12,CUADERNO ESP PP TAPA PP F_ 4X4 80H 90G,F_ 80张 90g 塑料皮 4mm方格(粉彩),"1,779_","-19,25%","1,437_"
Cervantes,PB259,8.43572E+12,CUADERNO ESP PP TAPA PP 4_ 4X4 80H 90G,4_ 80张 90g 塑料皮 4mm方格,"1,047_","-19,25%",845_
Cervantes,PB416,8.43546E+12,CUADERNO A4 120 HOJAS Y 3 SEPARADORES.,A4 120张 90g 塑料皮 3分隔,"3,706_","-19,25%","2,993_"
Cervantes,PB251,8.43572E+12,CUADERNO GRAPADO PP A4 HOR 48H 90G,A4 48张 90g 塑料皮骑马钉 横条,938_,"-19,25%",757_
Cervantes,PB252,8.43572E+12,CUADERNO GRAPADO A4 48 HOJAS 90 g/m_ PP,A4 48张 90g 塑料皮骑马钉 2.5mm,938_,"-19,25%",757_
Cervantes,PB253,8.43572E+12,CUADERNO GRAPADO A4 48 HOJAS 90 g/m_ PP,A4 48张 90g 塑料皮骑马钉 空白,938_,"-19,25%",757_
Cervantes,CE001-1,8.43572E+12,CUADERNO ANILLA CON HOJA EXTRAIBLE A4,A4 80张 100g 塑料硬皮蘑菇扣,"4,694_","-19,25%","3,790_"
Cervantes,CE001-2,8.43572E+12,CUADERNO ANILLA CON HOJA EXTRAIBLE A4,A4 80张 100g 塑料硬皮(粉彩),"4,694_","-19,25%","3,790_"
