品牌 (Brand),产品编号,条形码,产品名称 (含西语描述),核心规格,原价,折扣,折后价
Cervantes (硬抄本),PB001,8.43525E+12,CUADERNO ESP T. FORRADA Fº 4X4 80H 90G,Fº / 80张 / 90g / 硬皮 / 4x4方格,"1,595€","-19,25%","1,288€"
Cervantes (硬抄本),PB002,8.43525E+12,CUADERNO ESPIRAL Fº 80 HOJAS 90 g/m² PAU,Fº / 80张 / 90g / 硬皮 / 2.5mm间隙,"1,595€","-19,25%","1,288€"
Cervantes (硬抄本),PB003,8.43525E+12,CUADERNO ESPIRAL Fº 80 HOJAS 90 g/m² HOR,Fº / 80张 / 90g / 硬皮 / 横条,"1,595€","-19,25%","1,288€"
Cervantes (硬抄本),PB004,8.43525E+12,CUADERNO ESPIRAL Fº 80 HOJAS 90 g/m² LIS,Fº / 80张 / 90g / 硬皮 / 空白,"1,595€","-19,25%","1,288€"
Cervantes (塑料皮),PB052,8.43525E+12,CUADERNO ESPIRAL Fº 80 HOJAS 90 g/m² PAU,Fº / 80张 / 90g / 塑料皮 / 2.5mm间隙,"1,529€","-19,25%","1,235€"
Cervantes (塑料皮),PB053,8.43525E+12,CUADERNO ESPIRAL Fº 80 HOJAS 90 g/m² HOR,Fº / 80张 / 90g / 塑料皮 / 横条,"1,529€","-19,25%","1,235€"
Cervantes (塑料皮),PB054,8.43525E+12,CUADERNO ESPIRAL Fº 80 HOJAS 90 g/m² LIS,Fº / 80张 / 90g / 塑料皮 / 空白,"1,529€","-19,25%","1,235€"
Cervantes (塑料皮),PB055,8.43525E+12,CUADERNO Fº 3 x 3 mm 80 HOJAS PP,Fº / 80张 / 90g / 塑料皮 / 3x3方格,"1,529€","-19,25%","1,235€"
Cervantes (金属线圈),CE008,8.43572E+12,CUADERNO GUIA PP Fº 80 HOJAS 2.5MM 90G,Fº / 80张 / 90g / 塑料皮 / 2.5mm间隙,"1,529€","-19,25%","1,235€"
Cervantes (活页本),CE001-1,8.43572E+12,CUADERNO ANILLA CON HOJA EXTRAIBLE A4,A4 / 80张 / 100g / 蘑菇扣 / 5mm方格,"4,694€","-19,25%","3,790€"
Cervantes (软皮本),PB011,8.43525E+12,CUADERNO ESP TAPA BLANDA Fº 4X4 80H 60G,Fº / 80张 / 60g / 软皮 / 4mm方格,935€,"-19,25%",755€
Cervantes (活页替芯),PB158,8.43546E+12,RECAMBIO A4 4X4 250H 90G活页纸,A4 / 250张 / 90g / 蓝色边 / 4mm方格,"3,289€","-19,25%","2,656€"
JOVI (橡皮泥),701907001,8.41203E+12,PLASTILINA ESTUCHE 30 PASTILLAS 50 g BLA,50g / 白色 / 橡皮泥,328€,-15%,279€
JOVI (橡皮泥),701907101,8.41203E+12,PLASTILINA ESTUCHE 15 PASTILLAS 150 g BL,150g / 白色 / 橡皮泥,863€,-15%,734€
JOVI (风干泥),7019084,8.41203E+12,PASTA MODELAR 250 g TERRACOTTA JOVI,250g / 红棕色 / 风干泥,687€,-15%,584€
JOVI (水粉颜料),7019050201,U8412027026512,TÉMPERA LÍQUIDA 250 cc BLANCO JOVI,250ml / 白色 / 瓶装水粉,"1,810€",-15%,"1,539€"
JOVI (手指画),7019056003,8.41203E+12,PINTURA DE DEDOS 125 cc AMARILLO JOVI,125cc / 黄色 / 手指颜料,"1,252€",-15%,"1,064€"
TALENS (素描本),9314001M,U8712079383497,SKETCHBOOK NEGRO 9 x 14 140 g TALENS.,9x14cm / 80张 / 140g / 黑色素描本,"1,322€",-15%,"1,124€"
TALENS (画材),9600031M,8.71208E+12,CARBONCILLOS FINO 3-4 mm TALENS.,细笔尖 3-4mm / 木炭条,"1,183€",-15%,"1,006€"
EDDING (记号笔),0324001A,4.00476E+12,MARCADOR PERMANENTE EDDING 400 (01) NEGR,400系列 / 黑色 / 油性记号笔,"1,502€",-15%,"1,277€"
EDDING (白板笔),0325066601A,4.00476E+12,ROTULADOR PIZZARA EDDING 660 (01) NEGRO,660系列 / 黑色 / 白板笔,755€,-15%,642€
EDDING (水彩笔),03235062001A,4.00476E+12,ROTULADOR EDDING 1200 (01) NEGRO,1200系列 / 黑色 / 水彩笔,472€,-15%,401€
PILOT (可擦笔),074FRIXAA,4.90251E+12,BOLÍGRAFO FRIXION AZUL BORRABLE 0.7,0.7mm / 拔盖式 / 蓝色,"1,431€",-15%,"1,216€"
PILOT (可擦替芯),074NRFXAA,4.90251E+12,RECAMBIO FRIXION AZUL NRFXA (09) PILOT,0.7mm / 替芯 / 蓝色,"3,585€",-15%,"3,047€"
PILOT (中性笔),074G2AA,4.90251E+12,BOLÍGRAFO GEL PILOT G2 AZUL (05),G2 0.7mm / 按动中性笔 / 蓝色,"1,093€",-15%,929€
PILOT (走珠笔),074NV5AA,4.90251E+12,ROTULADOR V5 AZUL (23) PILOT,V5 0.5mm / 针管走珠笔 / 蓝色,"1,217€",-15%,"1,034€"
